AOI,Dice,IOU,threshold
L15-1848E-0793N_7394_5018_13,0.20423150505907184,0.1268508122021221,0.7
L15-0387E-1276N_1549_3087_13,0.370193041627638,0.22735047065307382,0.8
L15-0566E-1185N_2265_3451_13,0.3471842998380246,0.22717651642292158,0.8
L15-0632E-0892N_2528_4620_13,0.3374538479592495,0.20329846535792065,0.8
L15-1015E-1062N_4061_3941_13,0.17829456568662763,0.09847277726939063,0.8
L15-1200E-0847N_4802_4803_13,0.22621271677553334,0.12771743671594932,0.8
L15-1276E-1107N_5105_3761_13,0.13155841890829142,0.07051192765117863,0.8
L15-1438E-1134N_5753_3655_13,0.2591780457201089,0.14932642014552433,0.8
L15-1615E-1206N_6460_3366_13,0.34989164092210534,0.2134711998216914,0.8
L15-1690E-1211N_6763_3346_13,0.5540199395715962,0.3857082654918777,0.8
L15-1848E-0793N_7394_5018_13,0.16450307567430042,0.09855269613031284,0.8
L15-0387E-1276N_1549_3087_13,0.2666333863294826,0.1539635369161899,0.9
L15-0566E-1185N_2265_3451_13,0.28058654641952097,0.1767013542741086,0.9
L15-0632E-0892N_2528_4620_13,0.19341363814670332,0.10724280088257132,0.9
L15-1015E-1062N_4061_3941_13,0.0627807159107438,0.03254159764653959,0.9
L15-1200E-0847N_4802_4803_13,0.17122355987645288,0.09371745657610626,0.9
L15-1276E-1107N_5105_3761_13,0.05850635247417614,0.030161553256208676,0.9
L15-1438E-1134N_5753_3655_13,0.14057008479693164,0.07580416671256186,0.9
L15-1615E-1206N_6460_3366_13,0.2718511628166861,0.15901358296066875,0.9
L15-1690E-1211N_6763_3346_13,0.5052406411845073,0.3405494517757608,0.9
L15-1848E-0793N_7394_5018_13,0.12050337668867185,0.06946678607355261,0.9
L15-0387E-1276N_1549_3087_13,0.0,0.0,1.0
L15-0566E-1185N_2265_3451_13,0.0,0.0,1.0
L15-0632E-0892N_2528_4620_13,0.0,0.0,1.0
L15-1015E-1062N_4061_3941_13,0.0,0.0,1.0
L15-1200E-0847N_4802_4803_13,0.0,0.0,1.0
L15-1276E-1107N_5105_3761_13,0.0,0.0,1.0
L15-1438E-1134N_5753_3655_13,0.0,0.0,1.0
L15-1615E-1206N_6460_3366_13,0.0,0.0,1.0
L15-1690E-1211N_6763_3346_13,0.0,0.0,1.0
L15-1848E-0793N_7394_5018_13,,,1.0
