AOI,Dice,IOU,threshold
L15-1015E-1062N_4061_3941_13,0.07427323541921718,0.03876226226168503,0.4
L15-1200E-0847N_4802_4803_13,0.16590000684122433,0.09056286347246474,0.4
L15-1276E-1107N_5105_3761_13,0.0556588757049812,0.028658212177985604,0.4
L15-1438E-1134N_5753_3655_13,0.08799086154323726,0.04613193108503994,0.4
L15-1615E-1206N_6460_3366_13,0.23835843971991458,0.13698895896646868,0.4
L15-1690E-1211N_6763_3346_13,0.47898422087661424,0.3170317592316791,0.4
L15-1848E-0793N_7394_5018_13,0.11672966801483796,0.06657027030975222,0.4
L15-0387E-1276N_1549_3087_13,0.16206110668688536,0.08838868746037797,0.5
L15-0566E-1185N_2265_3451_13,0.22629240818585203,0.13630067551600264,0.5
L15-0632E-0892N_2528_4620_13,0.10084930881783233,0.05318996677971516,0.5
L15-1015E-1062N_4061_3941_13,0.0325218033438439,0.01658259431777519,0.5
L15-1200E-0847N_4802_4803_13,0.14732029282452605,0.07961409835043465,0.5
L15-1276E-1107N_5105_3761_13,0.03257635516692158,0.016566387912131192,0.5
L15-1438E-1134N_5753_3655_13,0.050527711323415866,0.025953019553131104,0.5
L15-1615E-1206N_6460_3366_13,0.2107801244452809,0.11958471011337053,0.5
L15-1690E-1211N_6763_3346_13,0.4372436518653118,0.2816500457974423,0.5
L15-1848E-0793N_7394_5018_13,0.09690589556623772,0.05431171287636695,0.5
L15-0387E-1276N_1549_3087_13,0.13583259457487878,0.07304573574287024,0.6
L15-0566E-1185N_2265_3451_13,0.19199471929172351,0.1152254024574377,0.6
L15-0632E-0892N_2528_4620_13,0.06778961709460828,0.03514249075702121,0.6
L15-1015E-1062N_4061_3941_13,0.01368464708809182,0.006900939003386091,0.6
L15-1200E-0847N_4802_4803_13,0.13060154407249916,0.0699467934365488,0.6
L15-1276E-1107N_5105_3761_13,0.01985847246322013,0.01003206526166057,0.6
L15-1438E-1134N_5753_3655_13,0.02997648016422516,0.015227251303410117,0.6
L15-1615E-1206N_6460_3366_13,0.1923152280567812,0.10818756679473912,0.6
L15-1690E-1211N_6763_3346_13,0.3964875022740086,0.24887229521479295,0.6
L15-1848E-0793N_7394_5018_13,0.08314198509288369,0.04595402852263582,0.6
L15-0387E-1276N_1549_3087_13,0.11218823576581753,0.05956962602222251,0.7
L15-0566E-1185N_2265_3451_13,0.1712201399204353,0.10267828351235453,0.7
L15-0632E-0892N_2528_4620_13,0.044341122176438874,0.022708431387484396,0.7
L15-1015E-1062N_4061_3941_13,0.0052699887002246966,0.002643996935197316,0.7
L15-1200E-0847N_4802_4803_13,0.11371527074033787,0.06035391412340741,0.7
L15-1276E-1107N_5105_3761_13,0.010845892999271554,0.005455014207855242,0.7
L15-1438E-1134N_5753_3655_13,0.017939481576986858,0.009055795809459193,0.7
L15-1615E-1206N_6460_3366_13,0.17870157842550066,0.0998575211785916,0.7
